t,v
2.790000000000012648e+01,-1.350000000000000089e+00
2.800000000000012790e+01,-1.300000000000000044e+00
2.810000000000012932e+01,-1.320000000000000062e+00
2.820000000000013074e+01,-1.280000000000000027e+00
2.830000000000013216e+01,-1.270000000000000018e+00
2.840000000000013358e+01,-1.260000000000000009e+00
2.850000000000013500e+01,-1.250000000000000000e+00
2.860000000000013642e+01,-1.199999999999999956e+00
2.870000000000013785e+01,-1.209999999999999964e+00
2.880000000000013927e+01,-1.270000000000000018e+00
2.890000000000014069e+01,-1.250000000000000000e+00
2.900000000000014211e+01,-1.239999999999999991e+00
2.910000000000014353e+01,-1.250000000000000000e+00
2.920000000000014495e+01,-1.149999999999999911e+00
2.930000000000014637e+01,-1.110000000000000098e+00
2.940000000000014779e+01,-1.139999999999999902e+00
2.950000000000014921e+01,-1.129999999999999893e+00
2.960000000000015064e+01,-1.070000000000000062e+00
2.970000000000015206e+01,-1.080000000000000071e+00
2.980000000000015348e+01,-1.090000000000000080e+00
2.990000000000015490e+01,-1.100000000000000089e+00
3.000000000000015632e+01,-1.030000000000000027e+00
3.010000000000015774e+01,-1.050000000000000044e+00
3.020000000000015916e+01,-1.090000000000000080e+00
3.030000000000016058e+01,-1.010000000000000009e+00
3.040000000000016200e+01,-9.799999999999999822e-01
3.050000000000016342e+01,-1.020000000000000018e+00
3.060000000000016485e+01,-1.030000000000000027e+00
3.070000000000016627e+01,-9.899999999999999911e-01
3.080000000000016769e+01,-1.000000000000000000e+00
3.090000000000016911e+01,-1.020000000000000018e+00
3.100000000000017053e+01,-1.050000000000000044e+00
3.110000000000017195e+01,-1.110000000000000098e+00
3.120000000000017337e+01,-1.139999999999999902e+00
3.130000000000017479e+01,-1.219999999999999973e+00
3.140000000000017621e+01,-1.219999999999999973e+00
3.150000000000017764e+01,-1.330000000000000071e+00
3.160000000000017906e+01,-1.320000000000000062e+00
3.170000000000018048e+01,-1.340000000000000080e+00
3.180000000000018190e+01,-1.320000000000000062e+00
3.190000000000018332e+01,-1.340000000000000080e+00
3.200000000000018474e+01,-1.260000000000000009e+00
3.210000000000018616e+01,-1.260000000000000009e+00
3.220000000000018758e+01,-1.300000000000000044e+00
3.230000000000018900e+01,-1.340000000000000080e+00
3.240000000000019043e+01,-1.340000000000000080e+00
3.250000000000019185e+01,-1.399999999999999911e+00
3.260000000000019327e+01,-1.340000000000000080e+00
3.270000000000019469e+01,-1.310000000000000053e+00
3.280000000000019611e+01,-1.290000000000000036e+00
3.290000000000019753e+01,-1.260000000000000009e+00
3.300000000000019895e+01,-1.290000000000000036e+00
3.310000000000020037e+01,-1.280000000000000027e+00
3.320000000000020179e+01,-1.320000000000000062e+00
3.330000000000020322e+01,-1.300000000000000044e+00
3.340000000000020464e+01,-1.290000000000000036e+00
3.350000000000020606e+01,-1.290000000000000036e+00
3.360000000000020748e+01,-1.330000000000000071e+00
3.370000000000020890e+01,-1.320000000000000062e+00
3.380000000000021032e+01,-1.250000000000000000e+00
3.390000000000021174e+01,-1.139999999999999902e+00
3.400000000000021316e+01,-1.199999999999999956e+00
3.410000000000021458e+01,-1.129999999999999893e+00
3.420000000000021600e+01,-1.189999999999999947e+00
3.430000000000021743e+01,-1.260000000000000009e+00
3.440000000000021885e+01,-1.290000000000000036e+00
3.450000000000022027e+01,-1.290000000000000036e+00
3.460000000000022169e+01,-1.260000000000000009e+00
3.470000000000022311e+01,-1.280000000000000027e+00
3.480000000000022453e+01,-1.260000000000000009e+00
3.490000000000022595e+01,-1.260000000000000009e+00
3.500000000000022737e+01,-1.209999999999999964e+00
3.510000000000022879e+01,-1.159999999999999920e+00
3.520000000000023022e+01,-1.060000000000000053e+00
